"TestCaseID","minPrice","maxPrice","manufacturer","flow_type"
"TC009001","97","500","Apple","standard"
"TC009002","98","500","Apple","standard"
"TC009003","99","500","Apple","standard"
"TC009004","500","1999","Apple","standard"
"TC009005","500","2000","Apple","standard"
"TC009006","500","2001","Apple","standard"
"TC009007","500","100","","standard"
"TC009008","500","1500","Apple","standard"
"TC009009","0","500","Apple","standard"
"TC009010","1000","3000","Apple","standard"
"TC009011","100","2000","Apple","mfr_first"
"TC009012","100","2000","Nikon","mfr_first"
"TC009013","100","2000","","standard"
